RunNumber,BeamEnergy,ActualBeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile,AlignmentRunNumber,ResidualXMin,ResidualXMax,ResidualYMin,ResidualYMax
53,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
54,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
55,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
56,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
57,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
58,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
59,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
60,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
61,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
62,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
63,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
64,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
65,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
66,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
67,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
68,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
69,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
70,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
71,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
72,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
73,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
74,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
75,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
76,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
77,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
78,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
79,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
80,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
