RunNumber,BeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile
22,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
23,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,200000,6,gear_weekend.xml
24,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
25,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
26,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
27,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
28,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
29,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
30,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
31,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
32,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
33,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
34,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
35,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
36,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
37,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
38,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
39,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
40,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
41,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
42,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
43,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
44,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
45,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
46,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
47,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
48,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
49,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
50,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
51,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
52,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
53,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
54,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
55,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
56,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
57,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
58,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
59,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
60,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
61,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
62,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
63,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
64,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
65,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
66,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
67,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
68,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
69,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
70,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
71,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
72,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
73,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
74,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
75,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
76,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
77,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
78,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
